Symbol,Date,Open,High,Low,Close,Volume
ABOT,09-Apr-2015,545.00,545.00,544.99,544.99,150
ABOT,10-Apr-2015,547.50,554.00,541.55,549.54,3300
ABOT,13-Apr-2015,570.00,575.00,552.00,559.17,5400
ABOT,14-Apr-2015,560.00,560.10,553.00,554.86,3900
ABOT,15-Apr-2015,540.25,553.99,540.25,552.18,2950
ABOT,16-Apr-2015,541.00,549.78,541.00,546.04,3600
ABOT,17-Apr-2015,544.99,547.94,539.00,545.33,24150
ABOT,20-Apr-2015,540.00,544.99,530.15,542.98,2900
ABOT,21-Apr-2015,542.00,547.50,540.00,545.00,18500
ABOT,22-Apr-2015,554.00,564.99,550.00,558.65,9150
ABOT,23-Apr-2015,560.85,564.99,555.80,555.80,650
ABOT,24-Apr-2015,560.00,560.00,535.00,543.08,5150
ABOT,27-Apr-2015,545.00,545.00,540.00,540.01,9550
ABOT,28-Apr-2015,540.00,545.00,540.00,540.72,4200
ABOT,29-Apr-2015,540.00,553.78,537.99,549.27,39050
ABOT,30-Apr-2015,557.65,576.73,549.99,555.01,63900
ABOT,04-May-2015,572.74,579.00,555.25,574.21,26400
ABOT,05-May-2015,570.00,598.00,567.00,595.54,13600
ABOT,06-May-2015,603.00,625.31,598.00,624.41,142700
ABOT,07-May-2015,636.00,636.00,600.00,610.20,31550
ABOT,08-May-2015,605.01,609.90,605.00,605.31,12150
ABOT,11-May-2015,614.00,614.00,591.00,606.00,13000
ABOT,12-May-2015,591.00,625.00,591.00,618.00,58050
ABOT,13-May-2015,621.00,626.00,615.00,618.78,5950
ABOT,14-May-2015,615.02,623.99,615.02,617.08,650
ABOT,15-May-2015,620.50,620.50,615.00,615.00,500
ABOT,18-May-2015,615.01,615.01,615.00,615.00,600
ABOT,19-May-2015,620.00,627.00,616.00,625.00,51200
ABOT,20-May-2015,625.00,635.50,621.00,625.00,900
ABOT,21-May-2015,624.00,630.00,624.00,626.44,1400
ABOT,22-May-2015,625.10,625.10,625.00,625.00,1700
ABOT,26-May-2015,620.00,625.00,620.00,620.00,1750
ABOT,27-May-2015,625.00,625.00,615.05,616.91,4200
ABOT,28-May-2015,615.00,615.00,603.00,610.88,7850
ABOT,29-May-2015,610.00,615.00,608.95,610.60,14350
ABOT,01-Jun-2015,618.99,618.99,610.00,611.39,3300
ABOT,02-Jun-2015,614.01,617.90,610.00,615.00,9000
ABOT,03-Jun-2015,619.99,621.00,615.00,615.00,7750
ABOT,04-Jun-2015,617.90,625.00,617.90,621.05,53350
ABOT,05-Jun-2015,630.00,632.00,600.00,610.60,8500
ABOT,08-Jun-2015,600.00,625.00,600.00,623.73,12850
ABOT,09-Jun-2015,620.00,620.00,605.00,608.00,1700
ABOT,10-Jun-2015,610.00,625.00,610.00,624.66,13550
ABOT,11-Jun-2015,621.00,632.00,620.00,630.00,30450
ABOT,12-Jun-2015,634.00,640.00,625.00,626.46,3600
ABOT,15-Jun-2015,630.00,630.00,625.00,625.00,3000
ABOT,16-Jun-2015,625.00,630.90,625.00,625.00,2300
ABOT,17-Jun-2015,629.00,629.00,625.00,625.16,2450
ABOT,18-Jun-2015,633.00,645.00,632.00,633.88,1600
ABOT,19-Jun-2015,626.00,627.00,626.00,627.00,150
ABOT,22-Jun-2015,625.10,645.00,625.10,635.00,1900
ABOT,23-Jun-2015,635.00,635.00,625.25,626.20,1350
ABOT,24-Jun-2015,625.01,635.00,625.00,634.93,2750
ABOT,25-Jun-2015,634.00,640.00,634.00,639.00,4350
ABOT,26-Jun-2015,625.15,644.99,625.15,640.79,3150
ABOT,29-Jun-2015,630.00,640.00,623.10,636.89,8100
ABOT,30-Jun-2015,632.00,668.73,632.00,667.31,13450
ABOT,01-Jul-2015,658.00,680.00,658.00,676.50,1450
ABOT,02-Jul-2015,689.00,705.89,688.00,701.12,52450
ABOT,03-Jul-2015,703.90,705.00,700.00,701.33,5250
ABOT,06-Jul-2015,680.00,710.00,680.00,708.34,16950
ABOT,07-Jul-2015,710.00,714.00,704.00,713.48,11100
ABOT,08-Jul-2015,710.00,717.00,710.00,714.57,8500
ABOT,09-Jul-2015,707.70,710.00,700.00,710.00,2700
ABOT,10-Jul-2015,710.00,714.00,707.00,709.63,3300
ABOT,13-Jul-2015,695.00,695.00,691.02,691.02,200
ABOT,14-Jul-2015,708.00,708.00,683.10,687.50,2750
ABOT,15-Jul-2015,698.99,714.00,698.99,709.87,5300
ABOT,16-Jul-2015,710.00,714.00,710.00,710.00,500
ABOT,22-Jul-2015,705.00,710.00,691.00,697.86,650
ABOT,23-Jul-2015,705.00,705.00,705.00,705.00,1000
ABOT,24-Jul-2015,701.00,701.00,701.00,701.00,200
ABOT,27-Jul-2015,685.00,685.00,685.00,685.00,50
ABOT,28-Jul-2015,680.00,680.00,680.00,680.00,300
ABOT,29-Jul-2015,670.00,685.00,670.00,685.00,2800
ABOT,31-Jul-2015,690.00,690.00,680.00,680.00,350
ABOT,05-Aug-2015,680.00,705.00,668.00,691.86,8900
ABOT,06-Aug-2015,700.00,725.00,700.00,705.45,13300
ABOT,07-Aug-2015,718.00,730.00,710.00,722.48,16050
ABOT,10-Aug-2015,744.42,744.42,703.50,710.03,5850
ABOT,11-Aug-2015,714.00,720.00,704.90,709.90,5850
ABOT,12-Aug-2015,704.00,715.00,690.00,691.87,5100
ABOT,13-Aug-2015,700.00,710.00,692.00,695.10,2450
ABOT,17-Aug-2015,698.00,719.90,690.00,713.98,10450
ABOT,18-Aug-2015,716.00,723.90,710.00,720.35,6950
ABOT,19-Aug-2015,710.00,712.20,700.00,705.00,3100
ABOT,20-Aug-2015,705.00,705.00,680.00,698.75,650
ABOT,21-Aug-2015,680.00,697.00,665.01,672.49,4450
ABOT,24-Aug-2015,640.10,645.00,638.87,640.00,3450
ABOT,25-Aug-2015,640.00,672.00,640.00,672.00,2850
ABOT,26-Aug-2015,680.00,699.00,680.00,688.40,1400
ABOT,27-Aug-2015,690.00,690.00,686.00,687.00,800
ABOT,28-Aug-2015,709.00,709.00,700.00,700.00,150
ABOT,31-Aug-2015,695.00,705.00,695.00,695.00,2600
ABOT,01-Sep-2015,700.00,703.00,695.00,695.00,2400
ABOT,02-Sep-2015,696.00,703.00,695.00,700.42,7200
ABOT,03-Sep-2015,695.00,708.05,695.00,698.32,2500
ABOT,04-Sep-2015,700.00,700.00,680.00,690.00,1000
ABOT,07-Sep-2015,675.00,695.00,675.00,695.00,44750
ABOT,08-Sep-2015,688.00,689.50,688.00,689.08,1100
ABOT,09-Sep-2015,692.00,694.00,692.00,693.08,800
ABOT,10-Sep-2015,692.00,695.00,690.00,691.00,950
ABOT,11-Sep-2015,694.90,695.00,685.00,691.00,650
ABOT,14-Sep-2015,656.45,671.00,656.45,671.00,100
ABOT,15-Sep-2015,655.00,655.00,655.00,655.00,200
ABOT,16-Sep-2015,660.00,662.00,660.00,662.00,700
ABOT,17-Sep-2015,650.00,650.00,650.00,650.00,50
ABOT,23-Sep-2015,668.00,668.00,668.00,668.00,100
ABOT,29-Sep-2015,660.00,661.10,660.00,660.00,4250
ABOT,30-Sep-2015,680.00,680.00,652.00,653.50,8850
ABOT,01-Oct-2015,630.01,655.00,630.01,654.00,650
ABOT,02-Oct-2015,665.00,675.00,656.00,656.00,500
ABOT,06-Oct-2015,656.00,660.00,656.00,660.00,350
ABOT,07-Oct-2015,660.00,680.00,660.00,676.84,3500
ABOT,12-Oct-2015,680.00,680.00,662.10,662.10,100
ABOT,13-Oct-2015,661.50,661.50,660.00,660.00,200
ABOT,14-Oct-2015,650.07,655.00,650.05,655.00,550
ABOT,16-Oct-2015,673.10,673.10,670.00,673.00,150
ABOT,19-Oct-2015,671.10,675.00,670.00,673.12,1050
ABOT,20-Oct-2015,675.00,706.77,675.00,687.46,9150
ABOT,21-Oct-2015,706.00,706.00,693.00,693.00,350
ABOT,22-Oct-2015,700.00,727.00,700.00,719.15,14300
ABOT,26-Oct-2015,705.00,705.00,700.00,704.20,450
ABOT,27-Oct-2015,699.50,699.50,695.00,696.44,850
ABOT,28-Oct-2015,682.00,682.00,673.50,673.50,3000
ABOT,29-Oct-2015,673.01,705.00,660.00,691.76,413850
ABOT,30-Oct-2015,700.00,702.99,700.00,702.39,250
ABOT,02-Nov-2015,701.00,705.00,699.90,703.00,3500
ABOT,03-Nov-2015,691.00,697.95,688.00,697.95,1400
ABOT,04-Nov-2015,697.99,699.00,697.99,698.28,800
ABOT,05-Nov-2015,687.10,697.00,685.00,694.86,2200
ABOT,06-Nov-2015,694.00,694.00,680.00,686.38,1400
ABOT,09-Nov-2015,680.01,680.60,680.01,680.52,950
ABOT,10-Nov-2015,685.00,688.00,676.10,676.10,900
ABOT,11-Nov-2015,685.00,690.00,680.01,689.17,1500
ABOT,16-Nov-2015,668.00,694.00,668.00,677.09,2950
ABOT,18-Nov-2015,685.00,685.00,685.00,685.00,1400
ABOT,23-Nov-2015,685.00,697.00,685.00,691.00,2450
ABOT,24-Nov-2015,691.00,691.00,676.00,676.80,2700
ABOT,25-Nov-2015,670.00,675.00,666.00,675.00,1750
ABOT,26-Nov-2015,671.01,671.01,666.01,666.01,200
ABOT,30-Nov-2015,665.00,665.00,635.35,640.76,2950
ABOT,01-Dec-2015,640.00,640.76,630.00,630.93,17350
ABOT,02-Dec-2015,630.00,631.00,630.00,630.95,4850
ABOT,04-Dec-2015,630.95,631.00,620.00,630.91,9900
ABOT,07-Dec-2015,630.91,648.00,610.00,647.00,138100
ABOT,08-Dec-2015,655.00,660.00,645.00,645.00,1200
ABOT,09-Dec-2015,652.99,663.00,652.99,658.50,700
ABOT,10-Dec-2015,666.00,669.99,664.00,667.00,900
ABOT,11-Dec-2015,668.00,669.00,650.00,665.00,550
ABOT,14-Dec-2015,645.00,649.00,642.50,649.00,550
ABOT,15-Dec-2015,657.50,664.00,643.00,659.08,1800
ABOT,16-Dec-2015,650.00,666.00,650.00,663.00,750
ABOT,17-Dec-2015,655.00,660.00,655.00,655.00,1000
ABOT,18-Dec-2015,647.50,652.00,635.00,646.75,2250
ABOT,22-Dec-2015,632.50,632.50,632.50,632.50,500
ABOT,23-Dec-2015,645.00,650.00,638.00,645.45,2600
ABOT,28-Dec-2015,645.00,647.90,640.00,645.33,1900
ABOT,29-Dec-2015,658.00,658.00,613.07,633.57,2100
ABOT,30-Dec-2015,645.00,645.00,630.00,631.00,1900
ABOT,31-Dec-2015,641.00,641.00,635.00,635.00,800
ABOT,01-Jan-2016,635.00,635.00,635.00,635.00,250
ABOT,04-Jan-2016,616.01,634.00,616.01,634.00,1400
ABOT,05-Jan-2016,634.50,634.50,634.50,634.50,500
ABOT,06-Jan-2016,640.00,655.01,640.00,650.68,1950
ABOT,07-Jan-2016,659.00,673.90,657.20,657.65,6600
ABOT,08-Jan-2016,668.50,668.50,646.00,646.00,8100
ABOT,11-Jan-2016,641.00,641.50,636.10,637.37,1850
ABOT,12-Jan-2016,620.00,620.00,620.00,620.00,50
ABOT,13-Jan-2016,638.00,638.00,631.00,631.00,600
ABOT,14-Jan-2016,601.00,615.00,599.45,599.59,4850
ABOT,15-Jan-2016,599.00,605.50,594.00,594.00,7150
ABOT,18-Jan-2016,575.00,585.00,575.00,585.00,2350
ABOT,19-Jan-2016,583.00,590.00,582.99,586.40,9200
ABOT,20-Jan-2016,580.00,610.00,580.00,600.09,16600
ABOT,21-Jan-2016,610.00,612.00,605.00,605.93,5850
