Symbol,Date,Open,High,Low,Close,Volume
AGTL,25-Feb-2015,361.50,367.00,361.00,363.95,6400
AGTL,26-Feb-2015,364.00,364.98,360.00,360.26,6900
AGTL,27-Feb-2015,363.69,363.69,355.00,356.75,3800
AGTL,02-Mar-2015,355.10,356.50,348.00,353.15,9800
AGTL,03-Mar-2015,341.01,352.00,341.01,350.46,11700
AGTL,04-Mar-2015,351.00,357.15,350.00,356.75,8900
AGTL,05-Mar-2015,358.00,358.00,355.26,356.86,3300
AGTL,06-Mar-2015,355.00,358.90,353.00,356.00,2700
AGTL,09-Mar-2015,358.00,358.00,350.00,350.94,1900
AGTL,10-Mar-2015,350.00,350.00,341.06,341.07,2100
AGTL,11-Mar-2015,344.00,344.00,335.00,338.75,10100
AGTL,12-Mar-2015,343.00,344.90,340.00,344.90,1700
AGTL,13-Mar-2015,346.00,359.98,346.00,354.53,5800
AGTL,16-Mar-2015,356.60,359.99,350.10,351.84,4300
AGTL,17-Mar-2015,347.00,349.90,343.00,348.62,3300
AGTL,18-Mar-2015,350.00,350.00,337.00,347.25,7100
AGTL,19-Mar-2015,336.10,350.69,336.10,347.30,1700
AGTL,20-Mar-2015,353.00,353.00,348.00,351.34,5900
AGTL,24-Mar-2015,355.00,355.00,346.00,346.00,10000
AGTL,25-Mar-2015,345.02,346.00,344.01,346.00,900
AGTL,26-Mar-2015,344.20,344.20,336.02,339.13,13900
AGTL,27-Mar-2015,340.00,340.00,322.18,327.48,16600
AGTL,30-Mar-2015,322.02,322.02,311.11,311.11,26800
AGTL,31-Mar-2015,305.00,325.00,295.60,323.63,35100
AGTL,01-Apr-2015,319.00,326.34,319.00,320.00,3700
AGTL,02-Apr-2015,324.00,336.00,323.00,336.00,14400
AGTL,03-Apr-2015,348.00,350.00,341.00,347.48,6800
AGTL,06-Apr-2015,343.02,363.99,343.00,362.77,9700
AGTL,07-Apr-2015,368.00,368.00,358.00,358.54,16000
AGTL,08-Apr-2015,366.99,366.99,360.70,364.99,9600
AGTL,09-Apr-2015,376.00,376.00,361.50,364.68,7600
AGTL,10-Apr-2015,368.50,368.99,364.50,367.56,9200
AGTL,13-Apr-2015,372.90,375.00,366.00,373.32,39100
AGTL,14-Apr-2015,356.00,356.00,343.00,346.29,8700
AGTL,15-Apr-2015,346.30,350.00,345.00,349.70,1400
AGTL,16-Apr-2015,350.05,351.90,346.52,346.52,2900
AGTL,17-Apr-2015,349.00,363.84,346.50,363.84,30900
AGTL,20-Apr-2015,378.48,382.03,375.00,382.03,36100
AGTL,21-Apr-2015,389.99,389.99,370.10,379.03,55500
AGTL,22-Apr-2015,376.40,392.00,374.00,387.28,55000
AGTL,23-Apr-2015,397.00,397.00,376.15,380.52,46200
AGTL,24-Apr-2015,382.50,383.00,372.01,378.91,11900
AGTL,27-Apr-2015,376.50,376.50,371.00,373.41,10000
AGTL,28-Apr-2015,370.70,374.00,368.10,369.00,15200
AGTL,29-Apr-2015,368.00,370.00,364.00,364.20,6400
AGTL,30-Apr-2015,362.50,368.00,362.50,367.58,1800
AGTL,04-May-2015,373.00,373.00,368.00,370.54,9500
AGTL,05-May-2015,367.01,378.00,367.01,376.37,26800
AGTL,06-May-2015,379.48,395.18,379.48,395.18,113800
AGTL,07-May-2015,405.00,409.50,390.00,403.23,101600
AGTL,08-May-2015,401.10,410.00,401.06,405.36,39700
AGTL,11-May-2015,397.00,409.00,390.02,398.41,60000
AGTL,12-May-2015,398.50,418.33,396.00,418.33,165900
AGTL,13-May-2015,421.00,421.00,404.00,405.21,24900
AGTL,14-May-2015,405.01,410.00,402.00,402.28,14100
AGTL,15-May-2015,397.00,405.00,396.51,398.76,2900
AGTL,18-May-2015,399.00,399.00,392.00,394.22,4600
AGTL,19-May-2015,390.00,395.00,389.00,390.25,3100
AGTL,20-May-2015,392.00,392.00,392.00,392.00,800
AGTL,21-May-2015,376.62,388.50,376.62,384.84,3600
AGTL,22-May-2015,384.84,386.50,370.00,375.08,6600
AGTL,25-May-2015,380.00,384.00,376.00,380.28,7100
AGTL,26-May-2015,381.00,381.00,375.00,376.02,11700
AGTL,27-May-2015,380.00,383.00,380.00,382.70,5600
AGTL,28-May-2015,381.00,381.00,381.00,381.00,200
AGTL,29-May-2015,386.90,400.00,385.00,399.49,32700
AGTL,01-Jun-2015,407.00,414.95,402.00,412.85,40000
AGTL,02-Jun-2015,417.98,428.85,414.00,418.72,110700
AGTL,03-Jun-2015,420.00,438.60,416.00,436.05,116100
AGTL,04-Jun-2015,438.00,445.00,435.00,435.17,25400
AGTL,05-Jun-2015,435.00,444.00,430.00,442.04,20300
AGTL,08-Jun-2015,420.15,455.00,420.10,453.09,55600
AGTL,09-Jun-2015,454.09,457.00,440.10,452.42,31800
AGTL,10-Jun-2015,450.05,454.00,441.15,442.31,8800
AGTL,11-Jun-2015,443.00,461.00,443.00,452.77,77400
AGTL,12-Jun-2015,459.90,475.40,450.00,475.40,78800
AGTL,15-Jun-2015,499.17,499.17,499.17,499.17,23400
AGTL,16-Jun-2015,524.12,524.12,516.05,524.12,168600
AGTL,17-Jun-2015,535.00,536.50,512.00,512.65,26600
AGTL,18-Jun-2015,518.00,518.00,514.00,514.23,51500
AGTL,19-Jun-2015,501.00,511.99,500.00,505.34,4800
AGTL,22-Jun-2015,495.00,500.00,490.00,495.08,5800
AGTL,23-Jun-2015,490.00,505.00,490.00,502.00,9000
AGTL,24-Jun-2015,495.00,501.00,492.05,500.60,17400
AGTL,25-Jun-2015,498.00,500.00,493.00,494.25,3100
AGTL,26-Jun-2015,490.00,491.00,484.00,486.21,2900
AGTL,29-Jun-2015,489.00,494.99,486.00,490.00,3600
AGTL,30-Jun-2015,491.00,492.00,490.00,490.12,5100
AGTL,01-Jul-2015,495.00,505.00,490.00,490.01,6800
AGTL,02-Jul-2015,490.03,499.47,490.03,497.58,4800
AGTL,03-Jul-2015,497.60,497.60,493.00,493.50,400
AGTL,06-Jul-2015,490.00,490.00,488.00,489.30,2900
AGTL,07-Jul-2015,492.00,494.00,486.22,490.18,8400
AGTL,08-Jul-2015,488.00,488.00,484.00,484.00,1100
AGTL,09-Jul-2015,480.00,485.00,480.00,480.00,1400
AGTL,10-Jul-2015,479.99,480.50,479.99,480.00,1200
AGTL,13-Jul-2015,482.00,498.00,482.00,496.00,2600
AGTL,14-Jul-2015,491.00,496.00,479.00,479.72,7600
AGTL,15-Jul-2015,485.00,485.00,480.00,480.76,34100
AGTL,16-Jul-2015,488.00,491.00,485.00,485.00,21600
AGTL,22-Jul-2015,483.20,487.75,482.00,482.04,4900
AGTL,23-Jul-2015,482.00,482.99,477.00,480.00,10100
AGTL,24-Jul-2015,480.00,484.90,480.00,482.17,15300
AGTL,27-Jul-2015,470.01,479.95,470.00,479.95,3200
AGTL,28-Jul-2015,480.00,484.88,478.00,481.14,1300
AGTL,29-Jul-2015,481.01,488.80,480.01,487.52,2100
AGTL,30-Jul-2015,487.99,495.00,485.00,490.51,4400
AGTL,31-Jul-2015,486.00,515.03,486.00,510.74,10500
AGTL,03-Aug-2015,515.00,536.27,512.00,535.90,42300
AGTL,04-Aug-2015,537.00,548.90,526.00,528.18,27400
AGTL,05-Aug-2015,534.90,550.00,530.00,549.60,123800
AGTL,06-Aug-2015,555.00,557.99,550.00,556.51,40800
AGTL,07-Aug-2015,556.97,564.00,545.00,548.46,22700
AGTL,10-Aug-2015,550.00,550.00,544.50,544.67,15600
AGTL,11-Aug-2015,550.00,550.00,540.00,541.61,11500
AGTL,12-Aug-2015,545.00,545.00,535.00,535.01,7700
AGTL,13-Aug-2015,540.00,540.50,535.00,538.12,3400
AGTL,17-Aug-2015,537.00,545.00,532.00,533.20,5100
AGTL,18-Aug-2015,540.00,540.00,530.00,535.00,7800
AGTL,19-Aug-2015,537.40,537.40,532.98,533.00,35100
AGTL,20-Aug-2015,533.00,539.00,533.00,534.00,3400
AGTL,21-Aug-2015,537.99,541.00,520.00,534.00,4400
AGTL,24-Aug-2015,507.30,535.00,507.30,520.70,13600
AGTL,25-Aug-2015,475.00,489.99,467.50,489.00,10600
AGTL,26-Aug-2015,477.01,499.00,477.01,490.00,1700
AGTL,27-Aug-2015,495.00,498.00,488.00,496.18,2900
AGTL,28-Aug-2015,503.00,503.00,500.00,500.75,2000
AGTL,31-Aug-2015,499.00,501.00,498.00,498.00,25700
AGTL,01-Sep-2015,495.00,499.00,480.01,480.61,46600
AGTL,02-Sep-2015,470.00,484.00,460.02,484.00,2900
AGTL,03-Sep-2015,470.00,479.00,465.00,469.60,5200
AGTL,04-Sep-2015,478.90,483.00,478.90,483.00,400
AGTL,07-Sep-2015,490.50,490.50,460.00,462.76,4400
AGTL,08-Sep-2015,450.52,450.52,446.75,449.00,500
AGTL,09-Sep-2015,450.00,455.00,450.00,455.00,1900
AGTL,10-Sep-2015,450.00,455.00,450.00,451.50,1500
AGTL,11-Sep-2015,450.00,450.00,440.00,450.00,1400
AGTL,14-Sep-2015,459.99,460.00,441.00,441.00,2100
AGTL,15-Sep-2015,450.00,450.00,435.00,435.00,3300
AGTL,16-Sep-2015,442.00,442.00,442.00,442.00,500
AGTL,17-Sep-2015,450.00,450.00,446.00,446.00,1200
AGTL,18-Sep-2015,440.00,440.00,428.00,435.50,2300
AGTL,21-Sep-2015,428.00,428.00,423.00,425.50,1700
AGTL,22-Sep-2015,424.00,429.90,420.00,424.68,2700
AGTL,23-Sep-2015,430.00,430.00,429.00,429.00,800
